"id","country","state","city","place","line_num","tap","liquid_type","liquid_name","liquid_temp","time","old_time","volume","delta","price","delta_price","status","machine_id","bar_id","date","hour","old_date","old_hour"
"121430250","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 21:31:40","2015-09-27 02:31:40","48.84","0.14","1.00","0.14","101","579","370","2015-09-26","21","2015-09-27","2"
"121430249","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 21:31:38","2015-09-27 02:31:38","48.70","1.06","1.00","1.06","101","579","370","2015-09-26","21","2015-09-27","2"
"121430248","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 21:31:36","2015-09-27 02:31:36","47.63","1.09","1.00","1.09","101","579","370","2015-09-26","21","2015-09-27","2"
"121430247","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 21:31:26","2015-09-27 02:31:26","46.55","0.01","1.00","0.01","101","579","370","2015-09-26","21","2015-09-27","2"
"121430246","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 21:31:24","2015-09-27 02:31:24","46.54","0.25","1.00","0.25","101","579","370","2015-09-26","21","2015-09-27","2"
"121430245","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 21:31:22","2015-09-27 02:31:22","46.29","1.58","1.00","1.58","101","579","370","2015-09-26","21","2015-09-27","2"
"121430244","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 21:31:20","2015-09-27 02:31:20","44.71","0.50","1.00","0.50","101","579","370","2015-09-26","21","2015-09-27","2"
"121430243","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 21:31:18","2015-09-27 02:31:18","44.20","1.01","1.00","1.01","101","579","370","2015-09-26","21","2015-09-27","2"
"121430242","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 21:31:16","2015-09-27 02:31:16","43.19","0.98","1.00","0.98","101","579","370","2015-09-26","21","2015-09-27","2"
"121430241","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 21:31:14","2015-09-27 02:31:14","42.21","0.19","1.00","0.19","101","579","370","2015-09-26","21","2015-09-27","2"
"121430240","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 21:31:12","2015-09-27 02:31:12","42.03","1.20","1.00","1.20","101","579","370","2015-09-26","21","2015-09-27","2"
"121430239","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 21:31:10","2015-09-27 02:31:10","40.83","1.70","1.00","1.70","101","579","370","2015-09-26","21","2015-09-27","2"
"121430238","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 21:31:08","2015-09-27 02:31:08","39.13","0.20","1.00","0.20","101","579","370","2015-09-26","21","2015-09-27","2"
"121406152","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 19:08:58","2015-09-27 00:08:58","38.92","0.02","1.00","0.02","101","579","370","2015-09-26","19","2015-09-27","0"
"121406151","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 19:08:56","2015-09-27 00:08:56","38.90","0.02","1.00","0.02","101","579","370","2015-09-26","19","2015-09-27","0"
"121403229","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 18:54:11","2015-09-26 23:54:11","38.88","0.04","1.00","0.04","101","579","370","2015-09-26","18","2015-09-26","23"
"121403228","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 18:54:09","2015-09-26 23:54:09","38.85","0.24","1.00","0.24","101","579","370","2015-09-26","18","2015-09-26","23"
"121403227","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 18:54:07","2015-09-26 23:54:07","38.61","0.19","1.00","0.19","101","579","370","2015-09-26","18","2015-09-26","23"
"121403226","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 18:54:05","2015-09-26 23:54:05","38.42","0.15","1.00","0.15","101","579","370","2015-09-26","18","2015-09-26","23"
"121403225","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 18:54:03","2015-09-26 23:54:03","38.27","0.25","1.00","0.25","101","579","370","2015-09-26","18","2015-09-26","23"
"121403224","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 18:53:53","2015-09-26 23:53:53","38.02","0.12","1.00","0.12","101","579","370","2015-09-26","18","2015-09-26","23"
"121403223","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 18:53:51","2015-09-26 23:53:51","37.90","0.20","1.00","0.20","101","579","370","2015-09-26","18","2015-09-26","23"
"121403222","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-26 18:53:49","2015-09-26 23:53:49","37.70","0.00","1.00","0.00","101","579","370","2015-09-26","18","2015-09-26","23"
"121139522","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-25 21:22:58","2015-09-26 02:22:58","37.69","0.18","1.00","0.18","101","579","370","2015-09-25","21","2015-09-26","2"
"121139521","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-25 21:22:56","2015-09-26 02:22:56","37.51","1.26","1.00","1.26","101","579","370","2015-09-25","21","2015-09-26","2"
"121139520","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-25 21:22:54","2015-09-26 02:22:54","36.25","1.17","1.00","1.17","101","579","370","2015-09-25","21","2015-09-26","2"
"121139517","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-25 21:22:52","2015-09-26 02:22:52","35.08","0.54","1.00","0.54","101","579","370","2015-09-25","21","2015-09-26","2"
"121139516","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-25 21:22:50","2015-09-26 02:22:50","34.54","1.46","1.00","1.46","101","579","370","2015-09-25","21","2015-09-26","2"
"121139515","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-25 21:22:48","2015-09-26 02:22:48","33.08","1.47","1.00","1.47","101","579","370","2015-09-25","21","2015-09-26","2"
"121139514","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-25 21:22:46","2015-09-26 02:22:46","31.61","0.09","1.00","0.09","101","579","370","2015-09-25","21","2015-09-26","2"
"121139513","United States","Illinois","Chicago","Hackathon 1","1","Hackathon 1","","Hackathon barnd","-20","2015-09-25 21:22:42","2015-09-26 02:22:42","31.52","0.09","1.00","0.09","101","579","370","2015-09-25","21","2015-09-26","2"
